Name,Last Candle,This Candle,% Change,Close,SMA 200,SMA 201,Bollinger Band Stretch,Chaikin AD Last,Chaikin AD Now,CCI,Bollinger Band Middleband,Chaikin AD Osc Last,MFI,Stop,EMA 5,MACD,MACD Histogram,Bollinger Band Upperband,SMA 50,Bollinger Band Lowerband,ADX,DI-,RSI,DI+,EMA 21,MACD Signal,Chaikin AD Osc Now
BTC-SNT,Green,Red,-0.003418803,5.85E-06,5.34645E-06,NOT,0,-617063524.2,-617344066.5,244.4532698,5.35E-06,-4145366.899,84.25790258,5.44E-06,5.55E-06,5.10E-08,6.05E-08,5.35E-06,5.39E-06,5.35E-06,29.91308378,7.965099186,65.80711549,38.4048737,5.36E-06,-9.55E-09,-4587504.911
BTC-ARDR,Green,Green,0.024773414,1.65E-05,1.55632E-05,NOT,0,-179445026.1,-179670694.3,385.5072464,1.50E-05,-7177563.055,88.49206727,1.54E-05,1.57E-05,2.55E-07,1.18E-07,1.50E-05,1.50E-05,1.50E-05,50.70792753,3.991779678,69.99362927,57.59630732,1.52E-05,1.37E-07,-8822008.79
BTC-GBYTE,Green,Green,0.015558799,0.00946217,0.00844687,NOT,27.14458319,-91056.84103,-91051.08469,-112.5617215,0.009732242,-412.9119057,37.48751683,0.00882154,0.00953215,0.000130804,-0.000129137,0.01089528,0.009193008,0.008569205,32.26315186,16.56403578,48.67153508,24.66096559,0.009642068,0.000259941,-360.7290697
BTC-TRX,Green,Red,-0.001745201,5.73E-06,4.71405E-06,NOT,0,-2681225694,-2681225694,-114.6218222,6.06E-06,-972955.6211,32.54452368,5.62E-06,5.79E-06,-2.38E-07,-1.03E-08,6.06E-06,6.75E-06,6.06E-06,29.30197352,26.9514724,33.22285587,9.760451126,6.08E-06,-2.27E-07,-769521.4149
BTC-VEE,Green,Red,-0.056,1.25E-06,1.3463E-06,TRUE,0,-384617089.3,-385014320,-46.66666667,1.25E-06,514980.7476,67.73385022,1.18E-06,1.26E-06,-2.49E-08,4.60E-09,1.25E-06,1.36E-06,1.25E-06,11.16876398,17.22298354,46.31719774,14.74716294,1.28E-06,-2.95E-08,382509.4905
BTC-NBT,Green,Red,-0.000639795,1.56E-05,1.38004E-05,NOT,0,-139529736,-139525567.9,142.1932848,1.41E-05,-1731.029458,52.31746033,1.45E-05,1.51E-05,7.85E-07,1.00E-07,1.41E-05,1.22E-05,1.41E-05,43.68793847,7.330483271,64.85850592,25.94128417,1.39E-05,6.85E-07,396.9664241
BTC-DOGE,Green,Green,0.038461538,5.20E-07,6.333E-07,TRUE,0,5759808268,5864303725,56.83760684,5.11E-07,121620495,64.6211576,4.90E-07,5.09E-07,-6.79E-09,1.18E-09,5.11E-07,5.30E-07,5.11E-07,19.8104482,12.53842689,0,13.88950884,5.14E-07,-7.97E-09,160026845.6
BTC-EXCL,Red,Red,-0.004056795,3.94E-05,4.10029E-05,TRUE,0,-49842492.64,-49990378.26,26.49199418,3.62E-05,-1154896.923,84.40936889,3.94E-05,3.98E-05,8.78E-07,7.31E-07,3.62E-05,3.88E-05,3.62E-05,45.66442514,8.345373838,52.66814742,36.3233961,3.78E-05,1.46E-07,-1024050.05
BTC-ZCL,Red,Green,0.046348048,0.00026301,0.000417993,TRUE,0,-7589908.86,-7566697.095,95.59374292,0.000267371,-12810.74667,59.82174658,0.00025668,0.000261823,1.71E-06,-1.05E-06,0.000267371,0.00025312,0.000267371,22.16147862,10.71298846,51.06390249,20.83179631,0.000261152,2.77E-06,-12319.84307
BTC-RLC,Green,Green,0.034859938,0.00011245,6.24995E-05,NOT,0,-38418561.67,-39116720,411.5430684,8.44E-05,-382838.3648,94.19086183,7.83E-05,9.36E-05,5.80E-06,9.49E-07,8.44E-05,7.48E-05,8.44E-05,57.48017201,6.022828302,73.78190793,57.25228118,8.44E-05,4.85E-06,-692200.4678
BTC-BCPT,Red,Green,0.030936455,1.20E-05,1.15246E-05,NOT,0,-64348252.47,-64506036.25,42.71874519,1.03E-05,278041.997,73.54213375,1.13E-05,1.20E-05,9.89E-07,1.82E-07,1.03E-05,9.32E-06,1.03E-05,46.62781116,12.84014746,61.17269587,29.57499736,1.07E-05,8.06E-07,169275.0212
BTC-NXS,Green,Red,-0.005716463,0.00010496,9.81615E-05,NOT,0,-15023097.39,-15022484.67,163.0001496,8.22E-05,-115790.673,78.33266097,9.85E-05,9.82E-05,4.43E-06,3.47E-06,8.22E-05,8.61E-05,8.22E-05,37.19183651,4.704308867,71.72013807,37.11869861,8.67E-05,9.67E-07,-110634.6427
BTC-MUE,Green,Red,-0.04576659,4.37E-06,4.62705E-06,TRUE,0,-447115936.2,-449333379.2,293.7612723,3.80E-06,-9193506.388,89.30554816,3.97E-06,4.10E-06,5.22E-08,7.65E-08,3.80E-06,4.01E-06,3.80E-06,37.64153744,5.703067256,61.64584779,47.69303186,3.91E-06,-2.43E-08,-11513782.35
BTC-RCN,Green,Red,-0.052287582,6.12E-06,3.8929E-06,NOT,0,-176983438.2,-177177561.8,143.3066408,5.31E-06,-2528683.437,60.1392731,5.56E-06,5.90E-06,6.13E-07,1.70E-08,5.31E-06,3.98E-06,5.31E-06,54.42196628,8.96574904,64.89046325,37.13842381,5.18E-06,5.96E-07,-2399154.975
BTC-SRN,Red,Green,0.008154944,9.81E-06,0.000012354,TRUE,0,-211177776.7,-210976570.4,136.8168421,7.88E-06,1899887.009,81.80817844,8.97E-06,9.20E-06,3.05E-07,3.22E-07,7.88E-06,8.16E-06,7.88E-06,25.42975922,7.324241376,68.58889981,32.60627201,8.23E-06,-1.70E-08,1785106.923
