Name,Close,Chaikin AD Last,Bollinger Band Stretch,Chaikin AD Now,CCI,Last Candle,Bollinger Band Middleband,Chaikin AD Osc Last,SMA 200,MFI,Stop,EMA 5,MACD Histogram,Bollinger Band Upperband,SMA 50,Bollinger Band Lowerband,ADX,MACD,DI-,RSI,DI+,% Change,EMA 21,This Candle,MACD Signal,Chaikin AD Osc Now
USDT-BTC,6540.34,308411.9040106752,8.237916662633626,308315.2018996208,-20.417258693715578,Red,6540.519335043001,208.44394654972712,7326.299397108547,65.13279912387878,6473.23557431,6588.192443772138,14.49897967615027,6799.263055091447,6597.322431024588,6281.775614994554,11.106897477793577,-4.185765331074435,18.653580595654343,48.187496571629865,17.176019115635853,-0.0092258200689872,6576.159844700353,Red,-18.684745007224706,145.7039782019565
BTC-EMC,0.00015414,-9755071.91136939,0.0,-9746999.39048741,-71.61770282629551,Red,0.00017284050000000131,-60679.35033244267,0.00033150954999999955,62.40579481630386,0.00015393,0.0001571393139658731,8.32444104576005e-08,0.00017284050000000131,0.0002082773999999997,0.00017284050000000131,31.23118474092427,-1.5588128749626277e-05,12.048538225963268,38.778989334736394,32.551331051187574,0.04619177371220973,0.00017537287397762917,Green,-1.5671373160083877e-05,-55758.16882196069
BTC-CLOAK,0.0003749,-5390872.947348962,0.0,-5392813.536279145,101.75740311876712,Red,0.00032343999999999965,-16407.01767133642,0.0007657056999999989,76.88785801862691,0.000362,0.00036830690366915746,8.092376354617535e-06,0.00032343999999999965,0.00030594359999999883,0.00032343999999999965,39.209564179353535,1.8258695726992835e-05,5.83572177675025,61.72609339776992,34.91424299837533,-0.041797812750066776,0.00033383586073240684,Red,1.01663193723753e-05,-17252.561439628713
BTC-RDD,5.8e-07,4213909843.2019405,0.0,4290351068.2419734,59.030039811798744,Red,5.655000000000002e-07,19132375.50817585,6.800500000000012e-07,46.05943857319901,5.7e-07,6.333118637804729e-07,9.930151202815536e-09,5.655000000000002e-07,4.924000000000003e-07,5.655000000000002e-07,33.77793032538238,3.820898099996218e-08,12.594858423241604,51.7917055310647,28.96747472203185,0.051724137931034475,5.736691870486213e-07,Green,2.8278829797146644e-08,-79945826.73528957
BTC-XRP,7.922e-05,322172756.12992036,0.0,323701258.5562599,22.30331681491783,Red,6.894950000000015e-05,-2374685.130431175,7.123694999999991e-05,65.75865264450037,7.9e-05,8.319733038369865e-05,8.775138917930517e-07,6.894950000000015e-05,5.600700000000006e-05,6.894950000000015e-05,47.01433263849741,9.51403754683713e-06,13.52041081741053,61.74527402778735,33.813817281501585,0.013632920979550489,7.18615430107914e-05,Green,8.636523655044079e-06,-2428073.141579509
BTC-ADA,1.26e-05,87300014.96815468,0.0,87179910.90610564,24.15985467756569,Red,1.1984999999999964e-05,2234164.4177609533,2.218950000000003e-05,59.44884858192272,1.254e-05,1.268718824658325e-05,2.0258738607493437e-07,1.1984999999999964e-05,1.3207400000000002e-05,1.1984999999999964e-05,19.12715545237028,-9.908629028658053e-08,16.959898216036507,49.39125588402762,18.557663850243948,-0.01904761904761898,1.251794512800863e-05,Red,-3.016736763615149e-07,564024.4983126819
BTC-XEM,1.591e-05,-142146260.5779976,0.0,-143988012.13362223,287.39747634069414,Green,1.4413500000000007e-05,302069.70728319883,2.7712700000000057e-05,77.41212600883219,1.558e-05,1.5259914937972205e-05,2.589789872365913e-07,1.4413500000000007e-05,1.5167800000000155e-05,1.4413500000000007e-05,17.650911103996485,-3.085067976843625e-08,11.51316055243974,59.676413644218016,35.678124570637614,-0.023884349465744803,1.4805046988188498e-05,Red,-2.8982966700502757e-07,-1682555.7642326057
BTC-DASH,0.0278,-151588.19934054452,12.82784669638033,-151776.0672905524,-101.53398731884741,Red,0.02942656149999996,-780.8155024291191,0.03793458059999985,51.11921702893283,0.02751636,0.02832506989955357,-0.000337660392083003,0.031200198858000947,0.027488832600000065,0.02765292414199897,12.431337859713098,-7.955086550312865e-05,18.623214437411942,43.309338268704444,13.841675579512478,-0.010319784172661772,0.02896884472905095,Red,0.00025810952657987434,-902.7845461177058
BTC-ETC,0.00170015,-9562465.387798782,0.0,-9573358.70333637,6.26649220368379,Green,0.0017035579999999978,-19810.866002075374,0.002121762500000006,61.94807014717863,0.00169671,0.0017019483725546657,1.0239880772883516e-05,0.0017035579999999978,0.0018186259999999996,0.0017035579999999978,15.796001781496818,-3.458377328618219e-05,16.079984084301802,44.50867595594199,14.735817197101323,-0.007540511131370886,0.0017251352743895404,Red,-4.4823654059065705e-05,-23642.593858510256
BTC-WAVES,0.0003229,4323957.318601309,0.0,4314290.245977081,-96.5669270842413,Red,0.00034093450000000064,-87629.53571706917,0.0004742133499999995,54.98789323644002,0.0003229,0.00032947764245113705,-2.8226101287029575e-06,0.00034093450000000064,0.0003289129999999991,0.00034093450000000064,38.07955949534564,1.3538398611402137e-07,13.847983154438094,45.97607533560356,30.64505928827352,-0.007463611025085193,0.0003347124577020448,Red,2.957994114816979e-06,-89165.79747395776
BTC-REP,0.00201557,-2802412.5632240456,0.0,-2804127.3995358986,21.488874892806066,Red,0.002024615500000004,-11717.084486893378,0.004053079500000016,69.35731900387513,0.00200941,0.002019056623031944,3.897351018924397e-05,0.002024615500000004,0.0024321883999999967,0.002024615500000004,29.696479122783323,-0.0001329164491416443,14.247518159249239,36.2575381338395,21.641842237383667,-0.02500533347886702,0.0021070586281172147,Red,-0.00017188995933088827,-11607.639205270447
BTC-OMG,0.00054123,29000622.221844792,0.0,28997749.746213708,66.19603013321853,Red,0.0005287590000000008,-16325.840350616723,0.0011390358000000018,60.03031784418313,0.00053926,0.0005449761243232815,7.5895443938295505e-06,0.0005287590000000008,0.0005643610000000017,0.0005287590000000008,12.495759881891411,-7.948142974675528e-06,16.710577728683138,48.376710698455604,19.55751058572434,-0.017774328843560006,0.0005418192604542956,Red,-1.553768736850508e-05,-26951.559775091708
BTC-XMR,0.0178,-19832.849943146408,9.271111074012971,-20568.64739649646,-6.259916874139299,Green,0.017739566999999984,-387.17257228249946,0.020561318349999972,34.35698832123399,0.01710701,0.017600116984326536,-0.00010545598972974977,0.018525463797784598,0.016500364000000003,0.01695367020221537,8.885350906352619,0.00021482366134990133,15.437117163902087,53.72541384494895,19.63627024110504,-0.028089887640449507,0.017519465875685793,Red,0.0003202796510796511,-599.720506592661
BTC-GRS,8.544e-05,5064960.747900146,0.0,5044772.603332165,-36.46026870915972,Red,8.583550000000006e-05,97514.50170547329,0.00010201475000000012,57.750066254537444,8.449e-05,8.554225175708511e-05,-1.1589052481499634e-07,8.583550000000006e-05,8.734079999999996e-05,8.583550000000006e-05,14.733877240931676,-5.9222513842401405e-09,10.792352358806173,49.313588858149224,16.671825088643196,-0.0214185393258427,8.577411032654881e-05,Red,1.099682734307562e-07,80382.62668450642
BTC-VTC,0.00010551,-35517033.59543518,0.0,-35541629.1996098,76.80527285063486,Red,0.00010281150000000158,-115281.41238108277,0.00018535800000000067,69.13027758505086,0.00010407,0.00010535030051285192,9.752148161890147e-07,0.00010281150000000158,0.00010579920000000105,0.00010281150000000158,27.661873994092478,-5.747401070143687e-07,9.251888985313741,50.79688158582092,25.106516253795753,-0.018576438252298377,0.00010437884310841328,Red,-1.5499549232033835e-06,-112428.70256340504
BTC-QTUM,0.00058492,-3982611.3819341604,0.0,-3987610.999104886,45.715681111713785,Green,0.0005616919999999966,22895.242614502553,0.001408445450000003,58.13293985924829,0.00058056,0.0005840326512535081,8.688111132455284e-06,0.0005616919999999966,0.0006118604000000025,0.0005616919999999966,28.22208709058103,-8.413933359018196e-06,14.16201132431306,49.165784590892805,25.0030355502256,-0.01918211037406814,0.00058061377369195,Red,-1.710204449147348e-05,15287.887747630477
BTC-SNT,5.81e-06,-555424823.505588,0.0,-555969553.5652484,50.73542441963428,Green,5.5085000000000016e-06,-891827.7758004665,1.059045e-05,74.47849006213659,5.64e-06,5.716326836036456e-06,5.966114054407037e-08,5.5085000000000016e-06,5.703800000000032e-06,5.5085000000000016e-06,31.362338822737758,-6.051941224505955e-09,11.03711241016968,53.01512148152575,27.018215784378434,-0.03614457831325313,5.631062502350107e-06,Red,-6.571308176857633e-08,-512085.333540678
BTC-ARDR,1.797e-05,-108883442.43181916,0.0,-109126287.90757968,4.912280701754505,Green,1.7175999999999955e-05,-1050730.4182196409,2.736209999999992e-05,71.76131925279994,1.768e-05,1.8094907400690346e-05,1.2901898730493806e-07,1.7175999999999955e-05,1.6696400000000025e-05,1.7175999999999955e-05,43.822392391491576,4.956574465867831e-07,8.111268647847469,55.30290179068461,25.903774925523297,-0.04952698942682243,1.740081428116146e-05,Red,3.6663845928184505e-07,-1001064.2530052364
BTC-GBYTE,0.00818502,-83731.25968079772,30.35592164060339,-83737.12689200958,-57.99183107373778,Green,0.00873980099999994,-65.89048969358555,0.019127248499999937,28.96535813766375,0.00792,0.008139624636695816,1.9361640467015543e-05,0.009891517493420014,0.009756887600000055,0.007588084506579864,18.07769024656275,-0.0006021883548623808,18.897151573493108,38.377767283914785,10.95579871515525,-0.020177104026624204,0.008771096239329233,Red,-0.0006215499953293964,-82.84811310119403
BTC-TRX,3.38e-06,-2735262636.6967316,0.0,-2740619703.167919,11.953551912568525,Green,3.2639999999999932e-06,-5118630.455395222,5.584700000000002e-06,62.20670897547238,3.33e-06,3.3548699748118904e-06,2.0811960432468687e-08,3.2639999999999932e-06,3.287599999999997e-06,3.2639999999999932e-06,19.42189067433501,1.164491260576016e-08,14.915944845973092,52.525209433341836,23.009239816029783,-0.020710059171597517,3.3111421429546097e-06,Red,-9.167047826708528e-09,-6393842.869749069
BTC-UNB,2.556e-05,-43274649.927950874,0.0,-43300841.40964551,-119.76047448284258,Red,3.090049999999998e-05,-120093.07799375802,5.8710050000000083e-05,63.130000883803305,2.448e-05,2.7208208275932997e-05,-7.201965335741407e-07,3.090049999999998e-05,3.126359999999997e-05,3.090049999999998e-05,37.59418008811216,-1.3682329627801476e-06,23.557195037297305,31.052565924383106,29.239708168708173,-0.03560250391236308,3.0186063706213572e-05,Red,-6.48036429206007e-07,-111877.8930831477
BTC-VEE,1.6e-06,-377574083.6367997,0.0,-377670811.90184855,17.693522906792936,Red,1.6544999999999998e-06,-734520.5028727055,3.3080000000000025e-06,48.138985110598604,1.58e-06,1.6091599941122547e-06,-2.5269786298324705e-09,1.6544999999999998e-06,1.6136000000000056e-06,1.6544999999999998e-06,11.774088386262434,-2.611034523298276e-08,13.153561807192574,45.53632641734849,19.01692273321018,0.006250000000000089,1.6398547119811143e-06,Green,-2.358336660315029e-08,-796088.8870570064
BTC-NBT,1.629e-05,-114335479.4315834,0.0,-114501107.37715939,27.67669699090251,Green,1.6639000000002447e-05,-802368.3350418061,4.243680000000031e-05,74.83293934561819,1.534e-05,1.6096757523025637e-05,1.3281009879821592e-07,1.6639000000002447e-05,1.96260000000016e-05,1.6639000000002447e-05,24.987586686579753,-9.448619970380387e-07,10.466554522003896,42.585138999244,30.017796660989205,-0.019643953345610865,1.6969351573438767e-05,Red,-1.0776720958362546e-06,-989481.8391962051
BTC-DOGE,8.9e-07,4314969432.012878,0.0,4295269827.769642,60.93418259023343,Red,9.089999999999996e-07,19369092.97449732,5.21750000000003e-07,43.45346282045285,8.8e-07,8.949189050321393e-07,-1.5332624429755535e-08,9.089999999999996e-07,7.102000000000003e-07,9.089999999999996e-07,40.179534350819736,3.705145352427211e-08,11.963588769918724,55.681835059510476,24.087769846244644,-0.011235955056179692,8.737813462313741e-07,Red,5.2384077954027644e-08,12259439.832380295
BTC-EXCL,3.527e-05,-38017429.270005435,0.0,-38017107.47327221,-54.09378668052092,Green,3.590199999999989e-05,-20690.716322667897,8.417499999999977e-05,64.26595129740018,3.419e-05,3.497914925330921e-05,-9.819147209419785e-09,3.590199999999989e-05,3.6070600000000305e-05,3.590199999999989e-05,38.357439354095284,-7.702809845175758e-07,14.374987760460387,46.43826837036135,34.507759418299145,0.013325772611284314,3.582174641974209e-05,Green,-7.60461837308156e-07,-17346.922350414097
BTC-ZCL,0.00057,-6729216.473248068,0.0,-6737220.611596479,-7.797884682967167,Green,0.0005717039999999986,-73450.16634360887,0.0012834622499999992,51.41978938580098,0.00055501,0.0005766426770963907,2.739615315730332e-05,0.0005717039999999986,0.0008856361999999992,0.0005717039999999986,26.02971991351347,-8.522332451108277e-05,20.370250935558275,39.26595263372795,16.776019168906384,-0.025350877192982346,0.0006322137861341216,Red,-0.00011261947766838609,-64022.12101423275
BTC-RLC,6.176e-05,-32603635.889855005,0.0,-32605920.51743123,132.29620410703214,Green,5.731149999999988e-05,-91860.56784629822,0.00012254640000000012,65.85131676010838,6e-05,5.997860987777416e-05,6.973889060830917e-07,5.731149999999988e-05,5.7038600000000006e-05,5.731149999999988e-05,24.98656489190348,5.523424692864e-07,10.949873556939766,57.824697484783584,31.165186692585205,-0.007448186528497547,5.8042382379533945e-05,Red,-1.450464367966916e-07,-80167.65512144938
BTC-BCPT,1.387e-05,-43099754.23639154,0.0,-43136749.500451125,28.909604519773826,Red,1.314299999999997e-05,-2900362.0865079165,3.417165e-05,77.89816072455152,1.37e-05,1.400499025584487e-05,2.214768598009654e-07,1.314299999999997e-05,1.2892600000000026e-05,1.314299999999997e-05,33.5081252241893,2.5985393844260376e-07,9.238728024060023,54.01107447545092,43.56539288260887,-0.03965392934390766,1.336240829774271e-05,Red,3.837707864163835e-08,-2572468.1683593243
BTC-NXS,0.00012364,-6621735.656568812,0.0,-6658390.7520243265,-84.78442139515948,Green,0.00013196300000000054,-136759.24618339725,0.00020181954999999994,29.411294428921092,0.00012271,0.00012490739166483243,-9.879264604432186e-07,0.00013196300000000054,0.0001299212000000002,0.00013196300000000054,14.575844474383901,-2.910654309897263e-06,16.06783600856758,41.15212074507635,15.39115347798147,-0.04205758654157232,0.00012978341310362508,Red,-1.9227278494540443e-06,-141175.95119214803
BTC-MUE,4.56e-06,-379612246.47403705,0.0,-379645955.6141499,32.46326131301801,Green,4.0330000000000036e-06,-1252055.8360113502,1.0215149999999998e-05,81.9801499379685,4.18e-06,4.318968906574243e-06,7.30811339074162e-08,4.0330000000000036e-06,4.238799999999975e-06,4.0330000000000036e-06,39.82357456626052,-1.514227803470836e-09,9.846177934613744,55.14343656985113,41.64391262379435,-0.028508771929824706,4.197922883413526e-06,Red,-7.459536171088704e-08,-992730.0437207818
BTC-RCN,4.21e-06,-89235689.48574612,0.0,-90091749.01819357,-53.81700054141855,Red,4.120500000000003e-06,-3126985.851813942,8.7475e-06,36.91463736678577,4.16e-06,4.240162552254681e-06,-1.5860578243328733e-08,4.120500000000003e-06,3.4879999999999935e-06,4.120500000000003e-06,45.70524289782135,1.9687528034821088e-07,8.958138005075758,54.62937238476929,30.634586538325557,-0.05225653206650838,4.051076638383535e-06,Red,2.1273585859153961e-07,-2990039.168067828
BTC-SRN,1.17e-05,-228391466.68691504,0.0,-228475373.42606145,67.04980842911817,Red,1.1430000000000063e-05,-951872.1839628816,2.9723000000000013e-05,61.178371332768066,1.136e-05,1.1683047737465044e-05,1.812749112105101e-07,1.1430000000000063e-05,1.21644e-05,1.1430000000000063e-05,19.23497174881874,-2.0392136905776657e-07,11.295124628948122,49.316915489589114,27.552681625186885,0.02393162393162407,1.1598522732958464e-05,Green,-3.8519628026827666e-07,-881219.7718774378
